Genes	Modules
2708	ENSG00000188229	greenyellow
2709	ENSG00000188243	blue
2710	ENSG00000188257	green
2711	ENSG00000188313	midnightblue
2712	ENSG00000188529	black
2713	ENSG00000188554	brown
2714	ENSG00000188612	black
2715	ENSG00000188643	blue
2716	ENSG00000188677	darkmagenta
2717	ENSG00000188690	darkmagenta
2718	ENSG00000188783	darkmagenta
2719	ENSG00000188846	darkturquoise
2720	ENSG00000189043	blue
2721	ENSG00000189058	green
2722	ENSG00000189067	blue
2723	ENSG00000189129	blue
2724	ENSG00000189159	blue
2725	ENSG00000189171	cyan
2726	ENSG00000189184	green
2727	ENSG00000189221	green
2728	ENSG00000189241	brown
2729	ENSG00000189266	black
2730	ENSG00000189403	black
2731	ENSG00000196139	lightyellow
2732	ENSG00000196141	darkmagenta
2733	ENSG00000196154	cyan
2734	ENSG00000196199	darkmagenta
2735	ENSG00000196205	black
2736	ENSG00000196235	grey
2737	ENSG00000196262	black
2738	ENSG00000196352	blue
2739	ENSG00000196365	darkmagenta
2740	ENSG00000196419	darkturquoise
2741	ENSG00000196498	green
2742	ENSG00000196504	darkmagenta
2743	ENSG00000196531	blue
2744	ENSG00000196535	darkmagenta
2745	ENSG00000196549	steelblue
